comment,compound,positive,negative,neutral,label
Tohir cs Kalah Pamor Dengan STY Sehingga Dia Dengan Ego nya Menyingkirkan STY Kini setelah semua Hasil Buruk Timnas Di semua Umur Dia Tetap Merasa diri Tidak bersalah Tohir TohirSelamat Atas Ambisimu yang ingin menghancurkan Sepakbola Timnas dan menghancurkan Mimpi Semua Suporter TIMNAS TohirOut,-0.9958,0.197,0.631,0.172,negative
Kayaknya Erick ingin menggunakan PSSI untuk berpolitik di 2029 makanya tidak mau mundur lebih baik Erick di Pecat dan STY di kembalikan Kebohongan mulai terkuak Towel dan Justine Buzzer yang menghancurkan timnas Tolong segera Erick Thohir dipecatdan,-0.9432,0.275,0.412,0.312,negative
TibaknyanyatanyaaaGUOBLOX SEMUA baik pelatihpssiktum jelas kan skarang bagaimana kondisi tim nas amburadulhancur lebur berantakan Gimana sudah puas skarang Klo udahgini kondisi nya tetap tidak mau HENGKANG secara HUEMATTIDAKini btul muka sesuatu yang tidak punya MA LU Klo aku tidak punya malu ibu lumaku ini SD saja tidak tamatYAA ALLOHNAUDZU BILLAH,-0.9855,0.296,0.478,0.226,negative
STY hilang prestasi hilang,0.8402,0.8,0.0,0.2,positive
Rick Erick kamu minggat saja dari PSSI karena PSSI sekarang ampas pemain bagus sedang mulai naik mslah coach STY kamu pecat memang anjing Egomu rakusmu serakahmu membuat timnas jatuh masuk jurang,-0.975,0.235,0.515,0.25,negative
Udah Erick Tohir mundur saja Gw sudah ngak respek dengan kepemimpinan anda sekarang di PSSI,-0.7184,0.16,0.36,0.48,negative
Si Tohir tidak muncul konprensi pers Dikala timnas tidak prestasi Malu kali yah Hakan Tah Tohirtimnas jadi stelan pabrik Puas manehkawalat ku coach STY AING PUASTOHIR MENANG KARMA TI STY,0.4084,0.323,0.232,0.445,positive
Arya out,0.0,0.0,0.0,1.0,neutral
Selama Erick Thohir ketum PSSI timnas akan hancurrrr piala dunia di depan mata sirnah gara2 ide konyol Erick Thohir ganti pelatih di tengah jalan Hasilnya apa O besar,0.7906,0.375,0.229,0.396,positive
Arya out,0.0,0.0,0.0,1.0,neutral
SOLUSINYA 1 ERIK TOHIR DAN KRONI2NYA HARUS OUT 2 STY KEMBALI DENGAN KEWENANGAN PENUH ATAS TIMNAS,-0.9186,0.138,0.517,0.345,negative
Kok susah amat mencari pelatih tinggal pilih Coach Towel,0.0,0.44,0.44,0.12,neutral
sty sudah membawa kita ke mimpi yang bahkan kita tidak pernah bermimpi best omded,-0.4215,0.348,0.373,0.28,negative
Coach shin pulang dengan kepala tegak dan kehormatan yang tinggi Terimaksih Coach STY atas dedikasi dan jasamu untuk indonesia,0.6124,0.375,0.275,0.35,positive
Saya mah Cuma kuli proyek yang cinta banget sama timnas disini Cuma bisa mendoakan yang terbaik untuk TINNAS kita selebihnya saya nonton lewat hp jika timnas kita menang alhamdulilah jika kalah tidak mau menghujat jaga pikiran tetap bersih karena dapur harus tetap ngebul,-0.9186,0.375,0.45,0.175,negative
Podcast ini bener2 ngebantu ngebantu pola pikir netizen indonesia yang suka ceplas ceplos kalau komentar di postingan tentang sepak bola Bak tong kosong nyaring bunyinya Terutama yang bukan bener2 pecinta sepakbola yaaaa Kadang baca komentar suka malu sendiri terutama di postingan mancanegara,0.7184,0.415,0.33,0.255,positive
KAMI TTAP DUKUNG TIMNASTHANKS COACH STYSUDAH MMBUAT SEJARAH BUAT TIMNASKAMI AKAN SLLU MENGHARGAIMU COACH,0.7906,0.368,0.0,0.632,positive
Isi podcas mewakili suara hati Sty membawa kita ke dalam mimpi yang bahkan kita tidak pernah bermimpi tetap dukung timnas,0.7906,0.49,0.314,0.196,positive
Om saya orang korea yang sudah tinggal di indonesia lebih dari 10 tahun Dan selama waktu itu saya mengikuti sepak bola Indonesia Dari jaman alfred riedl sampai shin tae yong Dan pada awal nya saya melihat sepak bola Indonesia bagaikan komedi Sampai akhir akhir ini Masuk Asian cup dan sekarang di babak penyisihan kualifikasi piala dunia Indonesia is definitely a nation that has grown immensely in the their footballing aspect Dan saya bangga kebanyakan orang Indonesia senang dengan apa yang sty telah lakukan dengan timnas Indonesia Semoga Patrick Kluivert bisa membawa Indonesia ke piala dunia,-0.9805,0.28,0.39,0.33,negative
saya tidak mengerti bola tapi kalau podcast orang2 ini membicarakan bola seru banget,-0.25,0.367,0.4,0.233,negative
Untuk coach shin terimakasih sudah membawa timnas sejauh ini Untuk coach Patrick Kluivert selamat bertugas Kita tetap dukung timnas,0.9818,0.641,0.0,0.359,positive
Tp kmarin anak sty sudah buat story di Ig mengucapkan terimakasih karena mereka masih bnyak dukungan dari masyarakat Indonesia Dan berkat dukungan kita membuat mereka kuat jangan lupa kawan sty adalah yang membuat persebakbolaan Indonesia mjd maju berterimakasih lahh kalian yaa,0.9186,0.44,0.262,0.298,positive
Lambat laun juga sty bakal meninggalkan timnas tapi paling tidak di saat sekarang beliau meninggalkan timnas dengan membawa nama harum bagi pecinta timnas indonesia jadi beliau meninggalkan timnas dengan banyak orang yang mencintai beliau Keputusan telah di buat mudahan timnas kita semakin maju dengan pelatih yang baru,0.0,0.386,0.327,0.287,neutral
Om ded tolong undang nelayan korban pagar misterius,0.25,0.412,0.294,0.294,positive
Tiada kata lain selain ucapan Terimakasih Coach Shin atas sentuhan emas buat Timnas Indonesia Sehat dan bahagia selalu bersama keluarga,0.9584,0.569,0.235,0.196,positive
Terimakasih STY aku yang GK suka bola saja radak lirik perkembangan sepak bola Tapi lihat timnas seperti ini sudah bangga sekali,0.9001,0.509,0.327,0.164,positive
terimakasih coach STY sudah bersama kami melangkah sampai sejauh ini kamu adalah bagian dari sejarah timnas indonesia kami akan mengingat dan selalu merindukanmu,0.8402,0.395,0.209,0.395,positive
Saya mendoakan yang terbaik buat timnas semoga jauh lebih baik lagi apapun keputusannya tetap support selalu untuk timnas Untuk pak sty terimakasih untuk semua nya Kami bangga memiliki mu dan terimakasih untuk jasamu selama di timnass loveeyooyyy,0.9517,0.459,0.271,0.271,positive
terima kasih pak STY telah membawa timnas menuju kemenangan yang belum pernah dibayangkan bangsa indonesia sebelumnya,-0.7906,0.207,0.379,0.414,negative
terima kasih LEGENDWarisanmu untuk sepakbola Indonesia sangat besaryg terbaik untukmu di masa depanSTY LEGEND,0.9517,0.615,0.0,0.385,positive
Terlepas dari naturalisasi atau tidak tapi sty sudah membuat sejarah buat indonesia Sangat tidak tepat waktunya untuk mengganti saat ini Terimakasih coach sukses selalu untuk anda dan keluarga Terimakasih banyak,0.8402,0.463,0.338,0.2,positive
sty adalah emosi di film anime blue lock,0.25,0.308,0.231,0.462,positive
Sepakat dengan Bung JEBRET bahwa Coach STY melatih indonesia pakai Perasaannya dan Rasa Cintanya untuk Indonesia Walaupun dapat uang 30M tidak dapat di pungkiri raut wajah beliau SANGAT KECEWA Semoga selalu sehat Coach dan percayalah bahwa rakyat indonesia buanyak yang mencintai anda,0.5766,0.322,0.261,0.417,positive
Smoga timnas DILATIH SIAPA PUN tetep semngatgigih bermain karena CINTA MERAH PUTIHn smakin membaik terus,0.1195,0.378,0.365,0.258,positive
Doakan saja yang terbaik buat Timnas kita,-0.4588,0.381,0.476,0.143,negative
Jngan lihat kesalahnnya lihat perjuangannya,0.8402,0.727,0.0,0.273,positive
Terlepas perdebatan profesional kontra semoga Timnas Indonesia Sukses menyelesaikan sisa pertandingan nanti,-0.9432,0.138,0.621,0.241,negative
Setidaknya STY sudah berjuang untuk Indonesia tidak hanya berkomentar Thanks for All Mister STY Semoga sepak bola Indonesia tambah maju,-0.4588,0.3,0.35,0.35,negative
thank you coach Shin anda luar biasa bertahan diantara kerasnya ombak di PSSI sudah membangun sepak bola dari akarnya agar bisa tumbuh lebih baik gomawa Coach Shin,0.7184,0.404,0.298,0.298,positive
seru sih kalau buat acara sendiri soal sepak bola apalagi sepakbola indonesia mungkin bisa jadi pertimbangan buat om ded,-0.25,0.333,0.389,0.278,negative
Kenangan terakhir saya seumur2 taruhan nraktir teman 5 orang lawan saudigood memory dengan coach STY,0.7184,0.417,0.167,0.417,positive
STY menghadirkan Cinta Kerinduan dan Patriotisme bagi mayoritas pemain terdahulu sehingga mereka terpanggil untuk mengorbankan segalanya Manakala cinta itu tercerabut dengan perpisahan tanpa kehormatan entahlah apa yang akan terjadi Selainnya warga yang terlanjur cintapun tentu miris melihat tidak adanya perpisahan yang elok bagi STY yang menghadirkan cinta itu,-0.9432,0.347,0.438,0.215,negative
Suka dari menit awal sampai akhir Ga saya skip sedetikpun Dan saya pun setuju sama semua yang dipaparkan kalian bertiga Gue berharap coach shin tetap diam seperti saat ini sih tidak perlu merespon Sperti harapan pak jebret Btw sudah resmi itu om pelatih timnas Silahkan lanjut part 2 om ded Klo bisa formasi sperti ini saja Udh nanggung sependapat dengan kalian bertiga soalnya hahaha,0.9618,0.445,0.306,0.249,positive
Ayo dong bung valen bawain timnas lagi,-0.4588,0.294,0.471,0.235,negative
coach shin we cinta you ketika di latih coach shin selalu semangat pingin lihat timnas,0.9682,0.667,0.0,0.333,positive
Karna sty menyatukan kita semua dan di tunggu2 buat para ibu2bpk2anakmuda mudi anak2 real,-0.25,0.32,0.32,0.36,negative
Stelah mendengar podcast ini pikiran saya jadi lebih terbuka Biar bagaimanapun saya mengucapkan sangat berterimakasih kepada sty atas perjuangannya membangun timnas Dinamika dalam sebuah pekerjaan itu memang tidak bisa dihindari,0.9001,0.486,0.306,0.208,positive
Gooootimnas Indonesia,0.0,0.0,0.0,1.0,neutral
Sy sangat berterima ksih pada sty sudah sejauh ini dan saya pecinta bola banget usia saya sudah 50 tahun tapi rasa cinta bola timnas ini yang membuat saya bahagia banget semoga siapapun pelatuhnya semoga bisa lebih baik,0.25,0.402,0.354,0.244,positive
Satunya podcast dari semua podcast yang saya tonton mengenai pemecatan coach sty ini benar dikulik secara detail tertata dan juga positif tanpa menyudutkan satu pihakpun Mantap om Ded,0.25,0.385,0.354,0.262,positive
Sebagai penggemar Timnas dan mantan pemain tarkam Gw mulai rajin nonton Timnas Indonesia dari era coach Danurwindo th 96 Namun dari segi tactical keseluruhan coach timnas cuma ketika dihold oleh STY permainan timnas lebih berkembang dan variatif Walaupun ada beberapa strategi nya yang disebut gagalsalah itupun kalau menurut saya karena dari pemainnya tidak pahambisa mengikuti instruksi STY Thank You coach Shin,-0.9872,0.22,0.465,0.315,negative
Aku terharu Sehat2 coach shin we cinta you,0.7906,0.538,0.0,0.462,positive
terima kasih om ini podcast paling fair objectif mencerdaskan buat pikiran keruh jadi bersih karena memberikan paham 2 sudut pandang setiap kalimat2 nya juga berkualitas banget,0.9001,0.489,0.191,0.319,positive
Semoga Indonesia tetap konsisten dengan permainan yang bagus berharap pelatih baru untuk lebih baik,0.9432,0.629,0.171,0.2,positive
Salah satu podcaster yang saya sukai Tetap berimbang dan tidak ada unsur memecah belah Tetap dukung timnastetap dukung federasi dan tetap dukung pelatih yang baru Minimal beri kesempatan menunjukkan hasilnya Bravo sepakbola Indonesia,-0.25,0.443,0.434,0.123,negative
Berani dan berguna bagi bangsa indogaskan,0.875,0.692,0.0,0.308,positive
Yang pertama Terima Kasih Coach Shin TaeYong Awal kedatangan memang berdarahdarah tetapi semangat dan kerja keras anda membuat kami anak bangsa menjadi lebih cinta tanah air Indonesia Magical moment Tanah Airku yang membuat 1 stadion bergemuruh bangga tidak akan kami lupakan Pemecatan Coach Shin TaeYong ini ibarat Nasi sudah menjadi bubur Tukang Bubur nya nanti kalau tidak laku dan bubur nya jadi tidak enak perlu DIPERTANYAKAN PERCAYA PROSES ini tidak bisa dipakai untuk berkilah karena pihak yang ingin megganti coach Shin tidak percaya kalimat ini jadi untuk Mr Patrick Kluivert Good Luck Do your best tanggung jawab anda sangat besar dan pesan kami cuma 1 WAJIB lolos world cup what ever it takes Yo Ayo Ayo Indonesia,-0.8429,0.39,0.391,0.219,negative
Terima Kasih Seutuhnya Untuk Coach STY yang SDH memberikan Harapan Besar Buat Kami Penggemar Bola di Indonesia Saran Buat Om Ded kalau bisa Hadirkan STY Itu luar biasa,0.8402,0.42,0.22,0.36,positive
peminat terbanyakdi Indonesia,0.0,0.0,0.0,1.0,neutral
undang si towel om ded,0.4588,0.429,0.0,0.571,positive
trimakasih buat coah STYyg sudah berjasa besar dan membawa perubahan trhdap sepak bola kitakhusus nya TIMNAS,0.975,0.667,0.103,0.231,positive
Sumpah iya memang STY ini magnet buat anak2 remaja putri dan ibu ibu jadi mengikuti perkembangan sepakbola,0.9517,0.606,0.091,0.303,positive
Keren om kupas tuntass,0.0,0.0,0.0,1.0,neutral
Om ded tenangkan dong kami kami ini untuk menerima masa depan bukan kembali kebelakang Ayo suport timnas menuju masa depan,0.0,0.265,0.265,0.471,neutral
Saya sangat terwakili dengan pembicaraan di podcast kali ini terutama dari sudut pandang oki rengga Thank U STY,0.8402,0.457,0.229,0.314,positive
doakan dukung pelatih dan pemain yang sudah ditinjukagar bisa sesuai harapankasihan pemainnya kalau kaya begini,0.7906,0.5,0.35,0.15,positive
STY pelatih yang telah membuat pondasi timnas Indonesia di segani di Asia bahkan Dunia Sosok pelatih sekaligus teman ayah bagi para pemain Timnas Thanks coach,0.875,0.458,0.208,0.333,positive
Terimakasih STY anda sudah membuat kami puas melihat timnas sekarang,0.9432,0.69,0.172,0.138,positive
Tunggu dulu tidak semuanya urusan presiden makan gratis saja masih belum beres,-0.4588,0.406,0.438,0.156,negative
Hal yang mustahil telah diwujudkan oleh STY Besar rasa hormat kami kepada STY,0.0,0.333,0.333,0.333,neutral
Makasih STY Apapun kondisi timnas Indonesia akan selalu ku dukung meski di depan layar TV selalu salah pemain,-0.25,0.286,0.343,0.371,negative
Undang sty lagi omajak makan sate lagi,-0.6124,0.312,0.5,0.188,negative
Supporter dan Fans Fanatik Timnas indonesia ada di belahan Dunia Manapun jadi Wajar Hal ini menjadi sangat Viral karena Prestasi STY di Timnas Terlihat nyata,0.9723,0.575,0.085,0.34,positive
Terimakasih sty sudah membuat penggemar timnas bermimpi kpiala dunia Ini adalah perjudian ET bisa berhasil bisa gagal Kita nonton saja Hanya bisa berdoa dan suport,0.875,0.442,0.25,0.308,positive
Kita warga negara INDONESIAharus tetap dukung TIMNAS siapapun pelatihnyasiapapun pemainyaagar TIMNAS kita JD lebih baikdan tidak lepas kita juga harus berterimakasih kepada STY yang sudah jauh membawa TIMNAS kita JD lebih baikayo penggemar TUMNAS sudahi perdebatan ini ayo kita fokus dukung TIMNAS ayo bersatubeda pendapat itu biasatapi kita satu INDINESIA,0.7184,0.377,0.311,0.311,positive
terimakasih sty welcome patrike klivert idolaku Semoga indonet bisa menjadi yang terbaik Saat ini Indonesia dilema oleh ekonomi lemah hanya sepakbola harapan kami berbahagia dan besatu,0.9517,0.467,0.233,0.3,positive
Tolong undang STY dan Jeje juga om Ded agar mereka juga berargumen karena menurut pribadi seakanakan tidak ada yang memfasilitasi dia untuk juga berbicara setelah di berhentikan,-0.875,0.312,0.438,0.25,negative
Hormat buat suporter timnas indonesia Yang sudah berkorban materi dan tenaga demi mendukung timnas garuda Pssi dan timnas bukan apa2 tanpa mereka,-0.25,0.326,0.326,0.349,negative
Meskipun Shin Taeyong belum berhasil membawa trofi untuk Indonesia kontribusinya dalam meningkatkan kualitas permainan dan mentalitas tim patut diapresiasi Dalam perjalanan Timnas Indonesia bersama STY kita belajar bahwa kerja keras disiplin dan keberanian untuk bermimpi adalah kunci menuju perubahan Terima Kasih Shin Taeyong,0.9899,0.556,0.144,0.3,positive
Karna mafiaaaaaaaaa,0.0,0.0,0.0,1.0,neutral
Terimakasih coach Sty,0.7906,0.75,0.0,0.25,positive
Selagi baik untuk timnas kita dkung,0.25,0.364,0.273,0.364,positive
Trima kasih coach shin sdah buat timnas indonesia di perhitungkan dunia saat ini kalok kita gagal lolos pildun pssi harus tanggung jawab dan jangan sampek bilang proses ingat kita itu sudah pnya tim sudah jadi,-0.8402,0.364,0.403,0.234,negative
lucu banget pemain yang gamain,-0.7184,0.353,0.588,0.059,negative
Bung jebret seram banget euy dari komentar nya terlihat dia selain berwawasan luas tapi juga punya Chanel atau Link orang kuat didalamnya asbroy pokoknya Lanjutkannn Siapapun pelatihnya siapapun pemainnya selama dia mau total buat bela dan majuin Timnas Indonesia maka wajib kita dukung,0.25,0.325,0.3,0.375,positive
Muga yang terbaik ajalah buat timnas indonesia ini dan buat sty suksess terus dan kita warga indonesia terima kasih kasih banyak atas ke indahan yang sudah di buat di timnas kita ini sukses terus sty,0.9186,0.458,0.236,0.306,positive
Msih setia ma sty,-0.7184,0.0,0.625,0.375,negative
thanx buat coach STY sudah mmbawa timnas ke titik yang sekarangjasamu sangat besar buat perkmbngan timnas tapi saya tetap dukung timnas siapapun pelatihnyafederasi sudah mmutuskan dalam hal ini pak erik tohirbeliau lbih paham daripada kitaapapun itu pasti sudah dipertimbngkan demi kemajuan timnassemoga timnas makin maju dengan pelatihnya yang baru,0.9517,0.437,0.262,0.301,positive
Saya suka STYsy sangat apresiasi STY Tapi saya sangat mendukung keputusan PSSI Itu pasti yang terbaik bagi Timnas Sy berpikirjgn mengganti pemain disaat timnas lagi hancurtapi disaat ada mimpi yang lebih besar dan PSSI melihat ada peluang dan resikopastilah keputusan ini yang terbaiksy tetap yakin itu yang terbaik buat kondisi saat ini,0.9834,0.517,0.317,0.166,positive
Siapapun pelatihnya tugas kita mendukung dan mendoakan timnas Indonesia,-0.25,0.0,0.2,0.8,negative
Coach shin saya ucapkan banyak2 terima kasih atas asuhan pak coach shin sepak bola indonesia sudah mulai maju dan semakin berkembang,0.0,0.366,0.317,0.317,neutral
Suport timnas indonesia Mendukung pak ketum erick thohir untuk timnas yang lebih baik menuju piala dunia Thanks coach sty Welcome patrick kluivert and tim,-0.25,0.347,0.327,0.327,negative
Gas keuun mantabs bosque,-0.7184,0.0,0.625,0.375,negative
Thanks STY Welcome PK kita dukung apapun keputusan federasi untuk kebaikan timnas Indonesia,0.9849,0.8,0.0,0.2,positive
Apresiasi buat siapapun yang menjunjung bola indonesia maju pokoknya Timnas,-0.875,0.105,0.526,0.368,negative
buat STY semangat terus semoga karir nya makin sukses kedepan nya kami tidak akan lupa jasamu buat TIMNAS harus semakin semangatentah siapapun pelatih nyapasti semua nya doa kan yang terbaik buat bangsa kita ini,0.9186,0.481,0.278,0.241,positive
Terima kasih buat bpak ET dan coach STY karena jasa kalian timnas bisa di posisi sekarang ini saya sejujurnya tidak rela kalau STY di pcat tidak jadi pelatih lagi di Timnas Dlu saya tidak terlalu suka bola tapi smnjak STY yang mlatih saya mulai suka dan mngikuti perkembangan timnas,-0.9517,0.33,0.435,0.235,negative
Salah satu alasan masalah ini menjadi besar yaitu momentumnya PSSI nya erik ini jika memang memecat STY saat kalah lawan China bisa jadi serangan tidak sebesar ini kita ingat seberapa marahnya kita lihat Starting 1st Half lawan china Tercermin juga dari hasilnya Tapi jika di pecat saat itu jugasebagian besar netizen memang terpuaskan disisi lain itu kegabah juga jika dilakukan Menang lawan KSA saya lihat tidak murni hanya dari strategi saja semangat juang pemain tidak kalah pengaruh nya di match itu Atmosfer semangat penonton juga tersampaikan di permainan Disitu anti klimaks dari pembenci STY berubah Angin segar kembali ke STY netizen bola seperti saya ini sangat labil senang saat menang dan akan mencari kambing hitam saat kalah Tapi harapannya PSSI Pak erik dalam ambil keputusan harus profesional kalau itu memang hasil dari evaluasi harapan nya Timnas kita bagus,-0.9928,0.328,0.447,0.225,negative
disini lebih asik daripada talkshow yang ngomonginnya politik,-0.25,0.368,0.421,0.211,negative
Sdh lama tidak ngliat penjahat kelamin dedy membahas hal yang serius Terimakasih sudah membahas STY Krn sjk berita pemecatannya saya baru bisa ngikutin ini,-0.9834,0.215,0.6,0.185,negative
Semoga Timnas Lolos piala Dunia Doa Terbaik Buat Timnas,0.875,0.625,0.208,0.167,positive
Hanya cara berfikir maju yang berani mengambil resiko Sukses atau tidak fight menuju piala Dunia Doa terbaik untuk Ketum PSSI full support Timnas Indonesia,-0.3818,0.369,0.396,0.235,negative
Tau kan kenapa Podcast Om Ded termasuk jadi yang terbaik Karena moderasinya bagus walau dia tidak mengerti banget dengan materi bahasannya Dia pinter nge gali dan ambil sudut pandang dari sisi awam,-0.9818,0.279,0.547,0.174,negative
Terima kasih STY Welcome Patrick kluivert fullsuportTIMNAS,0.9001,0.733,0.0,0.267,positive
STY menghadirkan cinta dan progress yang sudah maksimal sesuai kemampuannya Tapi Pak Erick pakai perhitungan logis Maunya kita menang,0.9501,0.556,0.187,0.257,positive
Pelawak menjadi pengamat lawak,0.0,0.0,0.0,1.0,neutral
bukan pendukung sty tapi dukung timnas Goodluck pelatih baru terima kasih STY,0.9517,0.667,0.133,0.2,positive
Kerenkeren keren 1000 saya sangat apresiasi komentarnya Buat saya ademademadem banget kesimpulannya,-0.25,0.348,0.348,0.304,negative
Trimakasih mewakili suara para pcnta sty dan progres timnas,0.7906,0.55,0.2,0.25,positive
Ahlan wa sahlan coach patrick,0.0,0.0,0.0,1.0,neutral
Kenyataannya coach STY membawa perubahan dan kemajuan yang pesat buat timnas Indonesiabeliau pergi dengan nama yang harumthanks coachbuat semua pendukung timnas4 sisa pertandingan terakhir ayo bersatuberdoa bersamajangan justru terpecahkalo seluruh rakyat indonesia bersatu berdoalolos piala dunia bukan hal yang mustahilintinya kita semua ingin Timnas lolositu akan semakin sulit jika pendukung terpecahbukankah bangsa ini berdiri karena persatuan SATU TANAH AIRSATU KEINGINANSATU TUJUANAYO BERSATU,-0.9001,0.301,0.372,0.327,negative
Dari STY aku jadi senyum dan semangat lihat bola yang tadinya tidak pernah ngelirik sama sekali,0.25,0.467,0.4,0.133,positive
STY karena Kmu saya yang tidak suka bolajdi sukaTerharu setiap Timnas Berlaga Di PertandinganSTY The Best,-0.9628,0.194,0.592,0.213,negative
Yg thu itu yang di lapangan saudara laki-laki,-0.7184,0.222,0.5,0.278,negative
Orang yang tidak suka nonton bola manapun sekalinya nonton cuma TIMNAS INDONESIA Terimakasih STY Sudah buat timnas garuda kita terbang tinggi semoga pergantian kepala cabang ini bisa buat timnas garuda bisa makin tinggi lagi terbangnya Salam hormat STY Semangat Berjuang Timnas Semangat mendukung NETIJEN 62,0.9584,0.433,0.222,0.344,positive
Jadi pendukung Timnas Apapun keputusan PSSI Kita hargai Terima kasih berlimpah untuk coach shin atas fondasi timnas yang sudah bagussemoga pelatih barusiapapun itulebih baik dan bisa melanjutkan program pelatih shin,0.9799,0.582,0.164,0.254,positive
Terima kasih coach STY buat timnas indonesia jadi enak untuk di tontonsukses selalu buat coach STY,0.9517,0.643,0.0,0.357,positive
siapapun pelatih nya selama Bendera Indonesia berkibar iya kita dukung,0.7184,0.45,0.2,0.35,positive
Dgr sty out saya serasa ada sesuatu di htibgw yang bkin saya jengkel Tp di satu sisi timnas tetap utama Semoga ini pilihan terbaik,0.7906,0.424,0.322,0.254,positive
Indonesia memang perlu pelatih keras dan disiplin kayak STY krnmorang indonesia terlalu santai dan manja bawaannya tapi kalau untuk pemain diaspora tidak cocok karena beda budaya orang eropa melihat semua orang setara diskusi dengan bos boleh bahkan orang tua sendiri dipanggil nama saja tidak masalah Sedang STY orang korsel yang kulturnya sangat kuat senioritasnya top down dan penghormatan pada senior dan atasan bener2 di level berbeda Kl pemain lokal cocok2 saja dengan itu masih masuk di kultur indonesia sty adaptasi pun tidak terlalu susah karena perbedaannya tidak banya tapi dengan pemain dari eropa beda soal kalau paham kultur korea sudah paham banget tidak bertanya2 lagi Tp bgmnpun semua ada kebaikannya dan kekurangannya masing2 Nah pssi disini yang sudah mengusahakan semua yang terbaikpemain yang di minta diusahain semua smp ke china saja disewain pesawat tapi sty bahkan tidak menggunakan semua sumberdaya yang ada kayak sia2 kerja keras pssi mengusahakan semua fasilitas sdm maupun sda Ya kita dapat pemain susah2 kalau jadi mereka tidak mau main lagi kita lebih rugi daripada kehilangan pelatih Sty tidak jelek tapi sudah tidak pas lagi dengan materi kita saat ini nnt bahkan tidak jadi terbang tinggi bahkan kempes dijjalan sayang pada ahirnya kepentingan timnas yang diutamakan bukan yang lain,-0.9995,0.263,0.556,0.181,negative
Wlpn babu aku juga suka bola Gass Poll,0.0,0.389,0.333,0.278,neutral
Kapan spek up pagar laut mas Deddy,0.0,0.0,0.0,1.0,neutral
Saya saja tidak nyangka yang cuma vans layar kaca STY D pecat Terimakasih buat STY yang sudah membawa INDONESIA ke kancah dunia sukses terus buat STY,-0.9776,0.282,0.563,0.155,negative
sah sah saja berpendapat apalagi Karena ketidaktahuan Cara berfikir Eric tohir yang tinggi dan ketidak tahuan apa yang terjadi didalam team sah ajalah apapun pendapatnya intinya kita dukung saja teamnas kita sekarang,-0.9432,0.231,0.431,0.338,negative
Seharusnya MMG bgitu Meminta coach STY melatih dan dikontrak sampai 2027 iya lihatlah sampai selesai terlepas berhasil atau gagal dikualifikasi Hargai kontrak dan perlakuan sty dengan baik Ini harga diri bangsamemperlakukan sty seperti itu rasanya menggunting dalam lipatan,0.6124,0.37,0.301,0.329,positive
Undang Jeje dong om,0.4588,0.5,0.0,0.5,positive
STY pergi hampir sama seperti ketika ronaldo keluar dari stadion kiev Mereka pergi bukan karena memberi lukatapi mereka pergi karena telah memberi kita bahagia Sangking bahagianyakita sempat beberapa saat menyesali kepergiannya,0.25,0.391,0.344,0.266,positive
Good luck new coach Tetap semangat dukung terus timnas,0.9818,0.862,0.0,0.138,positive
Bagaimanapun tidak bisa dibantah kalau STY sangat berjasa dn mengukir sejarah sepakbola Indonesia,0.25,0.346,0.308,0.346,positive
Suka dengan pembahasan ini,0.7184,0.75,0.0,0.25,positive
Semoga kita selalu sehat dan banyak rezeki nya,0.9325,0.722,0.0,0.278,positive
Pelatih timnas Indonesia yang ku kenal hanya STY saya jrg nonton bola Indonesia selama ini saya nonton sepakbola eropa tapi setelah ada STY di timnas saya jadi nonton timnas terima kasih STY kamu selalu di hati,0.0,0.343,0.314,0.343,neutral
Realistis sja SBG suporter yang dewasa menghargai semua keputusan PSSI tetap dukung timnas agar LBH baik lagi,0.9186,0.556,0.333,0.111,positive
Tenang sabar STY biar di buktikan lihat saja nanti di tangani PK,0.9186,0.581,0.226,0.194,positive
Pernah dgr kalau STY tolak tawaran negara lain yang lebih tinggi dan tetap melatih Indonesia berarti paling likely tidak khawatir dia bisa dibeli mengingat pure goalnya Apa pun itu semoga penggantinya dengan background sedemikian rupa juga memiliki dedikasi dan goals yang sama atau lebih dan mencintai Timnas melebihi sesuatu yang bisa menghancurkannya Karena sudah pasti banyak juga negara yang tidak suka dengan kemajuan sepak bola Indonesia apa lagi yang terancam posisinya Anyway apa pun endingnya semoga membawa hasil terbaik bagi Timnas Semoga sepak bola Indonesia terus maju,-0.9939,0.279,0.475,0.245,negative
Udahlah jangan banyak komantar yang bisa memecah belah dukungan untuk timnas Apapun yang terjadi kita harus tetap dukung timnas sebagai bentuk nasionalisme,-0.9186,0.37,0.507,0.123,negative
Tetap abadi sty selalu di hati Sampai sekarnag pun masih sedih sty out tapi mau bagaimana lagi Sty hadir di saat timnas di bawah dan merubah main set para permainan Indonesia yang habit nya banyak dribble passing lemahkontrol lemah sty bisa merubah semua kulivert hanya memoles dari hasil sty yang sudah di rubah inti penyakit di sepk bola Indonesia KLO kulivert merubah dari awal saya jamin tidak akan bisa hanya sty yang bisa merubah semuanya Shin Tae Yong selalu beritahukan ke pada orang Korea bahwa orang Indonesia sangat cinta dengang sty,-0.9872,0.291,0.424,0.286,negative
Terlepas dari semuanyatetap semangat coach STY Timnas Indonesia tetap menang,0.6124,0.483,0.345,0.172,positive
Berkat sty Indonesia punya sejarah baru di sepak bola Berkembang dan makin maju berkat sty,0.7184,0.44,0.16,0.4,positive
